Electoral Division,Household Income
"027 Lucan North, Fingal",105943
"074 Kilbarry (Part Rural), Co. Waterford",101740
"151 Terenure D, Dublin City",96130
"056 Foxrock-Torquay, Dún Laoghaire-Rathdown",92189
"029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown",91199
"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",90248
"054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown",90080
"129 Pembroke East E, Dublin City",89620
"017 Castleknock-Park, Fingal",89031
"135 Rathmines East B, Dublin City",88134
"077 Ladytown, Co. Kildare",87719
"023 Churchtown-Landscape, Dún Laoghaire-Rathdown",87584
"010 Blackrock-Central, Dún Laoghaire-Rathdown",86896
"014 Blackrock-Seapoint, Dún Laoghaire-Rathdown",85947
"131 Pembroke West B, Dublin City",85780
"150 Terenure C, Dublin City",84266
"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",83999
"038 Dundrum-Kilmacud, Dún Laoghaire-Rathdown",82715
"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",82500
"011 Blackrock-Glenomena, Dún Laoghaire-Rathdown",82452
"012 Firhouse-Ballycullen, South Dublin",81556
"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",80949
"026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown",80628
"024 Rathfarnham-Hermitage, South Dublin",80530
"005 Balgriffin, Fingal",80530
"009 Blackrock-Carysfort, Dún Laoghaire-Rathdown",80185
"127 Pembroke East C, Dublin City",80154
"042 Templeogue-Kimmage Manor, South Dublin",80138
"136 Rathmines East C, Dublin City",79917
"016 Castleknock-Knockmaroon, Fingal",79636
"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",78957
"036 Dalkey Upper, Dún Laoghaire-Rathdown",78722
"052 Galway Rural (Part Rural), Co. Galway",78602
"017 Blackrock-Williamstown, Dún Laoghaire-Rathdown",78239
"058 Killiney North, Dún Laoghaire-Rathdown",78048
"130 Pembroke West A, Dublin City",78000
"055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown",77742
"030 Malahide West, Fingal",77014
"126 Pembroke East B, Dublin City",76865
"053 Foxrock-Beechpark, Dún Laoghaire-Rathdown",76640
"008 Blackrock-Booterstown, Dún Laoghaire-Rathdown",76600
"147 South Dock, Dublin City",76331
"030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown",76324
"002 Ballyboden, South Dublin",76162
"153 Rossroe, Co. Clare",75715
"085 Rathmore, Co. Kildare",75519
"029 Malahide East, Fingal",75514
"046 Templeogue Village, South Dublin",75466
"014 Ballymurphy, Co. Cork",75039
"041 Straffan, Co. Kildare",74953
"142 Leitrim, Co. Cork",74942
"041 Clontarf East E, Dublin City",74484
"057 Glencullen, Dún Laoghaire-Rathdown",74418
"025 Churchtown-Orwell, Dún Laoghaire-Rathdown",74226
"061 Carragh, Co. Kildare",73753
"082 Oughterard, Co. Kildare",73474
"022 Kilbonane, Co. Cork",73394
"069 Tibradden, Dún Laoghaire-Rathdown",73162
"006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown",72990
"019 Kilpeacon, Co. Limerick",72946
"044 Bearna (Part Rural), Co. Galway",72813
"133 Rathfarnham, Dublin City",72432
"039 Swords-Seatown, Fingal",72416
"007 Culmullin, Co. Meath",72394
"004 Ballymaclode, Waterford City",72266
"065 Droichead Nua (Newbridge) Rural, Co. Kildare",72227
