"Proportion of earned income sectors by Year, Electoral Division and"
"statistical indicator"

" "," ","Agriculture, Forestry and Fishing (A) (%)","Construction (F) (%)","Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)"
"2016"
" ","001  Carlow Urban, Co. Carlow",1.1,5.0,14.0,11.0,12.6,30.9,25.3
" ","002 Graigue Urban, Co. Carlow",2.0,8.3,16.2,8.1,12.7,25.7,26.9
" ","003 Clonmore, Co. Carlow",10.6,8.9,13.3,12.2,13.9,27.3,13.7
" ","004 Hacketstown, Co. Carlow",6.6,10.5,9.8,12.2,12.5,24.7,23.7
" ","005 Haroldstown, Co. Carlow",12.1,10.2,11.0,13.5,14.6,23.2,15.4
" ","006 Kineagh, Co. Carlow",17.3,8.9,12.2,4.6,11.3,26.9,18.8
" ","007 Rahill, Co. Carlow",8.8,5.6,9.0,12.8,11.3,30.9,21.7
" ","008 Rathvilly, Co. Carlow",5.5,10.2,10.1,7.6,17.2,32.0,17.5
" ","009 Tiknock, Co. Carlow",7.2,9.1,14.0,12.7,9.9,29.9,17.3
" ","010 Williamstown, Co. Carlow",12.3,7.8,15.2,15.0,10.1,21.9,17.7
" ","011 Agha, Co. Carlow",9.6,3.0,9.4,8.9,13.6,34.6,20.8
" ","012 Ballinacarrig (Part Urban), Co. Carlow",5.3,4.3,11.9,14.1,14.0,35.6,14.8
" ","013 Ballintemple, Co. Carlow",14.1,10.1,10.7,9.8,10.9,29.2,15.3
" ","014 Ballon, Co. Carlow",6.0,8.4,11.7,8.3,16.8,30.1,18.7
" ","015 Ballyellin, Co. Carlow",11.0,5.5,9.6,9.0,15.6,29.1,20.3
" ","016 Ballymoon, Co. Carlow",9.4,10.5,14.1,8.3,17.0,27.4,13.3
" ","017 Borris, Co. Carlow",8.9,5.6,9.1,12.7,15.6,27.4,20.8
" ","018 Burton Hall, Co. Carlow",2.7,5.4,11.2,16.2,13.2,34.3,17.1
" ","019 Carlow Rural (Part Urban), Co Carlow",0.9,5.1,12.1,11.7,13.4,34.9,21.9
" ","020 Clogrenan, Co. Carlow",4.2,7.4,12.3,8.7,17.5,31.9,17.9
" ","021 Clonegall, Co. Carlow",8.0,8.9,8.2,12.1,13.5,29.5,19.6
" ","022 Corries, Co. Carlow",7.9,8.5,14.6,9.4,18.8,22.3,18.4
" ","023 Cranemore, Co. Carlow",8.3,9.5,8.6,12.4,15.9,26.4,18.9
" ","024 Fennagh, Co. Carlow",8.4,6.9,10.9,10.2,22.3,28.1,13.2
" ","025 Garryhill, Co. Carlow",9.4,7.5,11.2,11.4,23.7,24.0,12.7
" ","026 Grangeford, Co. Carlow",10.2,10.7,9.2,11.5,14.3,27.1,16.8
" ","027 Johnstown, Co. Carlow",7.4,7.1,16.5,5.8,14.6,31.8,16.9
" ","028 Kellistown, Co. Carlow",4.5,5.9,12.7,8.8,18.0,32.7,17.4
" ","029 Kilbride, Co. Carlow",7.4,5.8,10.7,11.7,18.1,30.5,15.8
" ","030 Killedmond, Co. Carlow",10.3,8.7,9.6,8.9,27.2,21.2,14.2
" ","031 Killerrig, Co. Carlow",7.6,5.3,9.9,13.4,17.1,25.5,21.1
" ","032 Leighlinbridge, Co. Carlow",5.6,5.4,9.7,12.6,16.0,32.4,18.5
" ","033 Muinebeag (Bagenalstown) Rural, Co. Carlow",6.6,6.0,11.8,8.9,12.9,32.8,21.0
" ","034 Muinebeag (Bagenalstown) Urban, Co. Carlow",2.0,4.4,10.0,6.2,24.2,30.2,23.0
" ","035 Myshall, Co. Carlow",9.2,13.1,12.8,5.9,14.4,30.8,13.7
" ","036 Nurney, Co. Carlow",7.9,6.2,9.9,9.9,14.8,33.6,17.6
" ","037 Oldleighlin, Co. Carlow",10.8,7.1,12.0,13.1,15.4,28.8,12.7
" ","038 Rathanna, Co. Carlow",10.3,14.1,17.1,4.9,14.1,29.1,10.4
" ","039 Rathornan, Co. Carlow",10.0,9.2,11.6,10.3,18.1,20.8,19.9
" ","040 Rathrush, Co. Carlow",5.3,5.7,10.4,9.8,17.7,32.1,19.0
" ","041 Ridge, Co. Carlow",12.7,11.4,13.9,5.2,9.0,23.6,24.1
" ","042 Shangarry, Co. Carlow",9.4,6.5,9.5,11.2,18.1,27.3,18.0
" ","043 Sliguff, Co. Carlow",7.9,5.2,9.8,7.3,23.0,26.3,20.5
" ","044 Tankardstown, Co. Carlow",13.8,6.6,12.2,7.0,16.1,29.0,15.4
" ","045 Templepeter, Co. Carlow",8.1,9.3,9.7,7.0,19.0,33.4,13.4
" ","046 Tullowbeg, Co. Carlow",7.2,5.6,13.7,8.9,20.4,23.3,20.9
" ","047 Tullow Rural, Co. Carlow",9.2,6.5,11.2,16.4,15.4,22.7,18.7
" ","048 Tullow Urban, Co. Carlow",7.5,7.4,9.1,14.5,17.8,22.5,21.2
" ","049 Ballymurphy, Co. Carlow",17.4,9.6,5.8,3.5,17.3,25.6,20.9
" ","050 Coonogue, Co. Carlow",11.6,7.2,13.5,10.4,11.0,27.5,18.7
" ","051 Glynn, Co. Carlow",11.7,8.5,5.8,12.5,26.3,19.0,16.2
" ","052 Kyle, Co. Carlow",17.4,6.9,9.0,16.0,16.1,23.7,11.0
" ","053 Marley, Co. Carlow",9.2,10.4,11.9,9.6,16.8,28.1,13.9
" ","054 Tinnahinch, Co. Carlow",5.8,8.6,12.2,6.7,12.8,32.6,21.2
" ","001 Arran Quay A, Dublin City",0.8,3.4,20.0,25.8,5.0,28.9,16.1
" ","002 Arran Quay B, Dublin City",0.3,2.9,23.6,29.1,3.4,22.4,18.2
" ","003 Arran Quay C, Dublin City",0.1,1.4,24.1,36.0,3.2,19.0,16.3
" ","004 Arran Quay D, Dublin City",0.1,2.5,16.2,25.1,4.6,35.8,15.8
" ","005 Arran Quay E, Dublin City",0.3,1.4,17.3,29.9,3.5,33.6,14.0
" ","006 Ashtown A, Dublin City",0.1,2.5,22.8,22.8,5.6,29.4,16.8
" ","007 Ashtown B, Dublin City",0.4,3.8,19.9,22.6,4.2,34.5,14.7
" ","008 Ayrfield, Dublin City",0.1,5.0,19.0,15.0,8.7,24.8,27.5
" ","009 Ballybough A, Dublin City",..,3.8,22.4,21.0,3.3,30.4,19.1
" ","010 Ballybough B, Dublin City",0.5,3.2,23.5,21.6,4.4,29.0,17.8
" ","011 Ballygall A, Dublin City",..,4.3,17.5,13.3,5.8,34.7,24.4
" ","012 Ballygall B, Dublin City",..,2.8,17.3,19.5,6.0,32.7,21.7
" ","013 Ballygall C, Dublin City",..,2.3,16.9,19.4,5.7,36.0,19.7
" ","014 Ballygall D, Dublin City",..,3.0,20.3,14.8,6.1,35.0,20.7
" ","015 Ballymun A, Dublin City",0.1,2.9,18.0,12.6,8.0,34.7,23.6
" ","016 Ballymun B, Dublin City",0.7,3.2,22.4,8.2,7.7,21.8,35.9
" ","017 Ballymun C, Dublin City",0.5,3.6,20.4,12.6,6.1,26.1,30.8
" ","018 Ballymun D, Dublin City",..,7.1,23.6,8.9,6.2,24.5,29.8
" ","019 Ballymun E, Dublin City",..,2.6,18.0,16.6,6.9,39.1,16.7
" ","020 Ballymun F, Dublin City",0.1,4.0,17.8,15.3,8.5,34.7,19.5
" ","021 Beaumont A, Dublin City",..,4.9,17.6,15.5,8.0,33.1,20.9
" ","022 Beaumont B, Dublin City",0.3,3.8,17.9,14.4,4.0,41.1,18.5
" ","023 Beaumont C, Dublin City",0.4,3.7,24.0,16.9,6.5,28.4,20.1
" ","024 Beaumont D, Dublin City",0.6,5.1,21.1,12.9,7.1,32.8,20.5
" ","025 Beaumont E, Dublin City",0.6,3.5,21.0,16.6,7.5,34.5,16.4
" ","026 Beaumont F, Dublin City",0.4,4.2,19.2,17.7,6.3,36.4,15.8
" ","027 Botanic A, Dublin City",0.3,1.6,20.3,23.8,6.5,35.6,12.0
" ","028 Botanic B, Dublin City",0.3,2.3,21.3,22.5,4.7,37.0,11.9
" ","029 Botanic C, Dublin City",0.5,2.4,20.0,26.4,3.4,36.4,11.0
" ","030 Cabra East A, Dublin City",0.2,2.5,20.2,21.3,3.1,38.2,14.5
" ","031 Cabra East B, Dublin City",0.1,4.6,16.8,17.0,5.7,34.7,21.1
" ","032 Cabra East C, Dublin City",..,3.4,20.3,24.4,3.8,31.1,16.9
" ","033 Cabra West A, Dublin City",..,5.4,15.5,13.2,6.2,36.0,23.7
" ","034 Cabra West B, Dublin City",0.7,6.0,14.6,13.9,5.6,34.0,25.1
" ","035 Cabra West C, Dublin City",0.5,3.9,18.7,16.3,6.2,35.2,19.2
" ","036 Cabra West D, Dublin City",..,2.7,17.1,22.6,5.8,36.0,15.6
" ","037 Clontarf East A, Dublin City",..,2.9,20.1,20.9,5.1,34.1,16.9
" ","038 Clontarf East B, Dublin City",0.1,2.0,22.5,28.2,5.4,27.9,14.0
" ","039 Clontarf East C, Dublin City",0.4,2.0,23.7,24.2,5.4,30.5,13.8
" ","040 Clontarf East D, Dublin City",0.4,1.8,27.2,27.3,4.6,25.4,13.3
" ","041 Clontarf East E, Dublin City",0.5,2.3,24.7,26.3,4.7,27.7,13.8
" ","042 Clontarf West A, Dublin City",..,3.5,22.1,20.3,5.4,30.7,18.0
" ","043 Clontarf West B, Dublin City",0.1,4.0,21.0,20.4,6.0,27.1,21.4
" ","044 Clontarf West C, Dublin City",0.2,1.8,24.0,32.0,3.8,28.0,10.3
" ","045 Clontarf West D, Dublin City",0.5,2.5,20.8,30.4,3.8,27.5,14.6
" ","046 Clontarf West E, Dublin City",0.4,2.5,20.6,25.8,4.8,31.7,14.2
" ","047 Drumcondra South A, Dublin City",0.3,2.6,23.6,25.3,4.7,30.8,12.7
" ","048 Drumcondra South B, Dublin City",0.6,2.7,21.5,26.6,5.0,31.6,12.1
" ","049 Drumcondra South C, Dublin City",0.5,2.2,19.7,22.4,5.6,36.5,13.1
" ","050 Edenmore, Dublin City",..,5.6,17.8,16.2,6.2,29.6,24.6
" ","051 Finglas North A, Dublin City",0.7,4.7,16.1,7.9,9.4,31.0,30.2
" ","052 Finglas North B, Dublin City",..,5.4,16.2,9.3,7.7,30.3,31.0
" ","053 Finglas North C, Dublin City",0.4,3.8,15.6,12.8,8.8,34.7,23.8
" ","054 Finglas South A, Dublin City",..,6.1,16.5,9.6,9.9,28.6,29.2
" ","055 Finglas South B, Dublin City",0.1,6.0,19.9,12.1,8.0,25.4,28.6
" ","056 Finglas South C, Dublin City",..,4.8,15.8,7.9,8.0,28.6,34.9
" ","057 Finglas South D, Dublin City",0.2,5.9,17.6,7.5,9.5,31.0,28.4
" ","058 Grace Park, Dublin City",0.2,2.9,21.5,21.2,5.8,32.9,15.4
