Electoral Division,Highest Education Level,Total Hours Worked
001 Carlow Urban,205,"1,517"
002 Graigue Urban,64,542
003 Clonmore,38,246
004 Hacketstown,61,410
005 Haroldstown,22,104
006 Kineagh,29,149
007 Rahill,40,284
008 Rathvilly,37,302
009 Tiknock,30,135
010 Williamstown,13,119
011 Agha,22,174
012 Ballinacarrig,81,402
013 Ballintemple,37,244
014 Ballon,46,289
015 Ballyellin,30,165
016 Ballymoon,25,159
017 Borris,68,367
018 Burton Hall,34,221
019 Carlow Rural,881,"5,274"
020 Clogrenan,66,423
021 Clonegall,68,428
022 Corries,35,218
023 Cranemore,87,447
024 Fennagh,31,306
025 Garryhill,38,247
026 Grangeford,43,200
027 Johnstown,28,225
028 Kellistown,58,399
029 Kilbride,28,191
030 Killedmond,33,194
031 Killerrig,30,163
032 Leighlinbridge,118,689
033 Muinebeag (Bagenalstown) Rural,41,253
034 Muinebeag (Bagenalstown) Urban,152,975
035 Myshall,27,211
036 Nurney,52,351
037 Oldleighlin,37,233
038 Rathanna,10,60
039 Rathornan,25,161
040 Rathrush,71,439
041 Ridge,28,114
042 Shangarry,34,227
043 Sliguff,32,201
044 Tankardstown,29,180
045 Templepeter,30,167
046 Tullowbeg,46,267
047 Tullow Rural,65,354
048 Tullow Urban,209,"1,476"
049 Ballymurphy,14,107
050 Coonogue,9,92
051 Glynn,19,145
052 Kyle,20,122
053 Marley,38,148
054 Tinnahinch,50,264
001 Arran Quay A,95,854
002 Arran Quay B,195,"2,246"
003 Arran Quay C,221,"2,489"
004 Arran Quay D,133,"1,472"
005 Arran Quay E,142,"1,838"
006 Ashtown A,645,"5,586"
007 Ashtown B,180,"1,287"
008 Ayrfield,299,"2,482"
009 Ballybough A,125,"1,531"
010 Ballybough B,158,"1,778"
011 Ballygall A,172,"1,602"
012 Ballygall B,82,706
013 Ballygall C,174,"1,304"
014 Ballygall D,126,"1,114"
015 Ballymun A,152,"2,052"
016 Ballymun B,86,"1,338"
017 Ballymun C,159,"2,100"
018 Ballymun D,49,768
